Question,Top-1,Top-3,Top-5,Search_Time_ms
टमाटर में 'फल फटने' का मुख्य कारण?,True,True,True,9.683847427368164
'नर्सरी' बिजनेस को स्टार्टअप कैसे बनाएं?,True,True,True,1.4147758483886719
धान में पडलिंग का महत्व?,False,True,True,3.0679702758789062
क्या कीटनाशकों का मधुमक्खियों पर असर पड़ता है?,True,True,True,2.691030502319336
'बीज उपचार' (Seed Treatment) का सही क्रम?,True,True,True,1.8079280853271484
आलू के कंदों का हरा रंग क्यों हो जाता है?,True,True,True,3.7212371826171875
धान में नाइट्रोजन की कमी के लक्षण?,True,True,True,7.320642471313477
आलू में पोटाश का क्या महत्व है?,True,True,True,3.1430721282958984
क्या मिट्टी का नमूना खाद डालने के तुरंत बाद ले सकते हैं?,True,True,True,3.194570541381836
'रिमोट डायग्नोस्टिक्स'?,True,True,True,1.0900497436523438
हाथ से चलने वाला 'सीड फर्टिलाइजर ड्रिल'?,True,True,True,1.2395381927490234
पपीते के बाग में 'चूहों' का प्रबंधन?,True,True,True,3.269672393798828
गन्ने में 'पोटाश' का क्या महत्व है?,False,False,False,2.7937889099121094
आलू में 'जिंक सल्फेट' 21% की प्रति एकड़ मात्रा?,True,True,True,3.305196762084961
सब्जियों के 'हाइब्रिड' बीजों के लाभ?,True,True,True,1.7459392547607422
लीची का 'फल फटना' (Fruit Cracking) क्यों होता है?,True,True,True,2.315521240234375
एन.पी.वी. (NPV Virus) का उपयोग?,True,True,True,1.6417503356933594
लीची में 'एनपीके 19:19:19' का छिड़काव कब करें?,True,True,True,2.7921199798583984
क्या कृषि यंत्रों का रेंट (Rent) पर बिजनेस किया जा सकता है?,True,True,True,2.774953842163086
गन्ने in 'लाल सड़न' के लिए 'स्वस्थ बीज'?,True,True,True,2.2897720336914062
गेंदा की प्रति एकड़ बीज दर?,True,True,True,2.289295196533203
लेजर लैंड लेवलर (Laser Land Leveler) का सिंचाई में महत्व?,True,True,True,2.3910999298095703
'कृषि यंत्रीकरण' से लागत कैसे कम होती है?,True,True,True,1.8510818481445312
IPM में 'कीट निगरानी' (Pest Monitoring) क्यों जरूरी है?,True,True,True,3.0493736267089844
मक्का में 'टर्सिकम लीफ ब्लाइट' (Turcicum Leaf Blight) क्या है?,True,True,True,2.3965835571289062
पशुओं के शेड में 'नीम की पत्तियों' का धुआं?,True,True,True,4.441022872924805
फार्म बिजनेस में 'समय प्रबंधन' (Time Management)?,True,True,True,1.821279525756836
आम की कटाई के बाद 'अचार' और 'जूस' बनाना?,True,True,True,2.555370330810547
'ई-नाम' (e-NAM) और बिचौलियों का खात्मा?,True,True,True,1.7037391662597656
प्रति खंभा कितने पौधे लगाएं?,True,True,True,1.22833251953125
खरपतवार नुकसान?,False,False,False,1.0569095611572266
चने में 'फली छेदक' के लिए 'ट्राइको-कार्ड'?,True,True,True,3.108501434326172
धान में जिंक कब डालें?,True,True,True,2.3310184478759766
मक्का की मड़ाई (Shelling) कैसे करें?,True,True,True,2.966642379760742
मृदा स्वास्थ्य कार्ड (Soil Health Card) के 12 मानक कौन से हैं?,True,True,True,1.9016265869140625
लहसुन में 'फास्फोरस' के लिए 'एसएसपी' क्यों अच्छा है?,False,False,False,2.808809280395508
केले की 'सघन' खेती में 'वायु संचार'?,True,True,True,3.0782222747802734
'वेयरहाउस रसीद' (Warehouse Receipt) पर लोन?,True,True,True,1.0573863983154297
आम का 'मधुआ' (Mango Hopper) कीट?,True,True,True,2.113819122314453
आलू में 'एनपीके 19:19:19' का छिड़काव?,True,True,True,2.4590492248535156
क्या ड्रैगन फ्रूट को गमलों में उगाया जा सकता है?,True,True,True,3.403902053833008
IPM में 'नीम की खली' का महत्व?,True,True,True,3.273487091064453
पशुओं के लिए 'कपास के बीज' (Cotton seeds)?,True,True,True,1.828908920288086
'मुर्गी पालन' में 'रानीखेत' रोग से बचाव?,True,True,True,1.8248558044433594
आम के पौधे कैसे तैयार किए जाते हैं?,True,True,True,1.8010139465332031
रानी मधुमक्खी को कैसे पहचानें?,True,True,True,1.2519359588623047
आलू की 'शुष्क' खेती में सफलता का सूत्र?,False,True,True,3.025531768798828
अदरक की खुदाई के बाद 'जड़ों' की सफाई?,True,True,True,2.6428699493408203
गेहूं की 'कटाई' के बाद खेत की 'गहरी जुताई' (Deep Ploughing)?,True,True,True,3.5338401794433594
गेहूं की 'भंडारण' सुरक्षा के लिए 'सूखा अदरक'?,True,True,True,2.875804901123047
प्याज की 'मिट्टी' का पीएच 8.0 होने पर?,True,True,True,3.11279296875
ड्रैगन फ्रूट में 'चूहों' के बिलों में 'धुआं'?,True,True,True,2.6297569274902344
पशु स्वास्थ्य के लिए विशेषज्ञों की अंतिम सलाह?,True,True,True,2.541780471801758
मखाना में 'जिंक' की कमी से पत्तों का आकार?,True,True,True,3.184795379638672
दूध की मार्केटिंग के लिए 'सहकारी समितियां' (Dairy Cooperatives)?,True,True,True,3.598451614379883
मक्का किस मौसम की फसल है?,False,True,True,2.2797584533691406
'फार्म ड्रोन' ऑपरेटर कैसे बनें?,True,True,True,1.6944408416748047
आलू की 'पछेती' बुआई में 'गर्मी' का प्रभाव?,True,True,True,3.2186508178710938
प्रकाश प्रपंच (Light Trap) कैसे काम करता है?,True,True,True,1.4886856079101562
पत्तागोभी की सफल खेती के लिए विशेषज्ञों की अंतिम सलाह?,True,True,True,2.8128623962402344
आम की खेती के लिए सरकारी सब्सिडी?,False,False,False,2.5949478149414062
'ब्रांडिंग' पर निवेश करना क्या सही है?,True,True,True,1.7750263214111328
'लीची का माइट' कीट?,False,False,True,1.8489360809326172
आलू in 'कॉमन स्कैब' (Common Scab) का लक्षण?,True,True,True,1.8734931945800781
उर्वरकों को भंडारित करते समय क्या सावधानी रखें?,True,True,True,2.1562576293945312
सब्जियों की तुड़ाई (Harvesting) का सही समय क्या है?,True,True,True,3.3707618713378906
सरसों की 'हाइब्रिड' खेती में 'बीज की शुद्धता'?,True,True,True,2.8772354125976562
धान के 'शीथ ब्लाइट' के लिए 'वैलिडामाइसिन'?,True,True,True,2.1071434020996094
फसल सुरक्षा में 'बायो-सिक्योरिटी'?,True,True,True,1.7418861389160156
सब्जियों की खेती में 'जल निकास' की महत्ता?,True,True,True,2.803802490234375
गेहूं के लिए कैसी मिट्टी सबसे अच्छी होती है?,True,True,True,2.653837203979492
भूरा रतुआ का नियंत्रण?,True,True,True,1.9485950469970703
ब्रह्मास्त्र और अग्निस्त्र क्या हैं?,True,True,True,1.5039443969726562
कीटनाशक (Insecticides) क्या होते हैं?,True,True,True,1.6856193542480469
'कीटों का जीवन चक्र' और 'मौसम'?,True,True,True,2.0599365234375
गेंदा (Marigold) की खेती के लिए सबसे अच्छा समय?,True,True,True,3.141641616821289
नैनो यूरिया (Nano Urea) क्या है?,True,True,True,1.7654895782470703
दलहनी फसलों में 'बीज उपचार' की दवा 'कार्बेन्डाजिम' की मात्रा?,True,True,True,4.336833953857422
सरसों में 'गंधक' देने के लिए 'बेंटोनाइट सल्फर'?,True,True,True,2.6280879974365234
पौधों की उम्र?,True,True,True,2.1049976348876953
खरपतवारनाशकों के खाली डिब्बों का क्या करें?,True,True,True,3.011941909790039
किसानों के लिए मौसम विज्ञान का सबसे बड़ा संदेश?,True,True,True,2.4313926696777344
मटर की खेती में सबसे बड़ी चुनौती?,False,False,True,2.721548080444336
सरसों की 'मड़ाई' के बाद दानों को 'मिट्टी' से बचाना?,True,True,True,3.1349658966064453
गन्ने में 'बंधाई' (Propping/Tying) क्यों जरूरी है?,True,True,True,2.227783203125
हल्दी में 'चूहों' के बिलों में 'धुआं'?,True,True,True,2.515554428100586
मुर्गियों में 'चोंच काटना' (Debeaking) क्यों जरूरी है?,True,True,True,2.1364688873291016
क्या बिना ट्रैक्टर के भी मशीनीकरण संभव है?,True,True,True,2.22015380859375
क्या बिहार में मटर की खेती सफल है?,True,True,True,3.2799243927001953
राइजोबियम कल्चर (Rhizobium) का मटर में क्या लाभ है?,True,True,True,2.881765365600586
पूसा बासमती 1509?,True,True,True,1.0764598846435547
कुफरी कंचन किस्म की विशेषता?,True,True,True,2.0856857299804688
सब्जियों की खेती में विशेषज्ञों की अंतिम सलाह?,True,True,True,2.6373863220214844
हल्दी की 'मेघालय' किस्में (जैसे Lakadong)?,True,True,True,1.9550323486328125
'धान का शीथ ब्लाइट' और 'यूरिया'?,True,True,True,1.918792724609375
टमाटर में 'पोटाश' की कमी से 'स्टार्च' निर्माण?,True,True,True,2.651214599609375
मिर्च में 'जिंक सल्फेट' का छिड़काव?,False,False,False,2.317190170288086
फूलों के बाग में 'मल्चिंग' के लाभ?,True,True,True,2.4199485778808594
'अरहर में बांझपन रोग' और 'मकड़ी'?,True,True,True,2.1238327026367188
पपीते के बाग में 'मधुमक्खी पालन'?,True,True,True,2.3627281188964844
